Symbol,Company Name,Market cap,Beta,P/E,Price,Volume,Annual Return,Cluster
SAH.NS,Sah Polymers Limited,2348725800,0.0,259.31,91.05,32460,0.2708,0
RKEC.NS,RKEC Projects Limited,2054794890,0.896,17.18,85.65,57065,1.042,1
HFCL.NS,HFCL Limited,129984567000,0.906,40.52,90.1,23486917,0.5321,1
TRIVENI.NS,Triveni Engineering & Industries Limited,71710984800,0.83,17.76,327.6,573458,0.1448,1
DBL.NS,Dilip Buildcon Limited,58902712750,0.993,32.08,402.85,615687,1.7001,1
MARINE.NS,Marine Electricals (India) Limited,13461855346,0.549,80.04,103.9,804420,1.5337,0
WSI.NS,W.S. Industries (India) Limited,6268383237,0.11,14.7,132.8,247100,3.6083,0
SHIVAMAUTO.NS,Shivam Autotech Limited,4069992600,0.781,-8.37,33.3,183858,0.7565,1
PPAP.NS,PPAP Automotive Limited,2666300000,0.238,-20.85,190.45,21510,0.1528,0
MADHUCON.NS,Madhucon Projects Limited,653084865,0.917,-1.51,8.85,73265,1.7206,1
BKMINDST.NS,BKM Industries Limited,122548680,1.389,-0.44,1.8,16996,1.1176,1
GREENPOWER.NS,Orient Green Power Company Limited,18731828400,0.768,48.9,19.1,7448163,1.2945,1
KECL.NS,Kirloskar Electric Company Limited,11798464865,1.011,85.68,177.65,602115,0.5353,1
ZODIAC.NS,Zodiac Energy Limited,8953445790,0.077,164.89,611.85,2236,3.2614,0
TRF.NS,TRF Limited,6069807750,1.117,15.5,551.55,22639,1.5319,1
SGIL.NS,Synergy Green Industries Limited,4539969000,-0.051,39.96,321.3,12958,1.8633,0
AARON.NS,Aaron Industries Limited,2837796270,0.505,43.98,257.05,13755,0.4461,0
HCG.NS,HealthCare Global Enterprises Limited,48695784000,0.306,104.09,349.6,101845,0.2559,0
SAKSOFT.NS,Saksoft Limited,24530749320,0.481,27.82,244.3,175137,0.8168,0
KBCGLOBAL.NS,KBC Global Limited,1559760000,0.898,-5.5,1.6,3180425,-0.2391,1
SIKKO.NS,Sikko Industries Limited,1451520000,0.449,48.69,86.4,19582,-0.1193,0
BANARBEADS.NS,Banaras Beads Limited,563746889,0.185,20.75,84.95,3036,0.1354,0
3MINDIA.NS,3M India Limited,373445950570,0.293,66.0,33150.7,4936,0.3593,0
JWL.NS,Jupiter Wagons Limited,223463348000,0.911,72.4,542.0,5879823,3.1684,1
WELCORP.NS,Welspun Corp Limited,128897163707,0.765,12.02,492.6,1929693,1.602,1
AMIORG.NS,Ami Organics Limited,40765926996,-0.233,99.31,1105.35,147594,0.2119,0
GEPIL.NS,GE Power India Limited,20020349500,0.978,-12.29,297.8,482070,1.5807,1
STCINDIA.NS,The State Trading Corporation of India Ltd.,7770000000,0.917,11.2,129.5,66212,0.8838,1
SHRADHA.NS,Shradha Infraprojects Limited,1645263750,0.69,12.42,81.25,110065,0.8736,1
